round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,hidden_size,last_activation,loss,lr,optimizer
100,0.3238369822502136,0.875,0.0,0.0,relu,128,0.16,100,128,sigmoid,binary_crossentropy,1.09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.490853786468506,0.5087719559669495,0.0,0.0,softmax,64,0.08,100,16,softmax,binary_crossentropy,5.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.6207555532455444,0.6447368264198303,0.0,0.0,softmax,256,0.28,100,128,relu,binary_crossentropy,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.6519708633422852,0.6206140518188477,0.0,0.0,softmax,256,0.12,100,64,relu,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.5217630863189697,0.7171052694320679,0.0,0.0,relu,64,0.24,100,256,sigmoid,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.490854263305664,0.5087719559669495,0.0,0.0,relu,256,0.28,100,256,relu,binary_crossentropy,9.01,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.4289567470550537,0.8311403393745422,0.0,0.0,relu,128,0.08,100,256,sigmoid,binary_crossentropy,1.09,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.6445730328559875,0.7214912176132202,0.0,0.0,sigmoid,256,0.16,100,16,sigmoid,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.6348553895950317,0.6513158082962036,0.0,0.0,softmax,256,0.12,100,16,sigmoid,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.5208824276924133,0.765350878238678,0.0,0.0,sigmoid,128,0.36,100,16,sigmoid,binary_crossentropy,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.490854263305664,0.5087719559669495,0.0,0.0,sigmoid,256,0.04,100,64,softmax,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.490854263305664,0.5087719559669495,0.0,0.0,softmax,128,0.04,100,16,softmax,binary_crossentropy,5.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.490854263305664,0.5087719559669495,0.0,0.0,sigmoid,128,0.04,100,64,relu,binary_crossentropy,9.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.490854263305664,0.5087719559669495,0.0,0.0,softmax,256,0.24,100,16,softmax,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.63750821352005,0.6600877046585083,0.0,0.0,relu,256,0.08,100,256,sigmoid,binary_crossentropy,9.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.490854263305664,0.5087719559669495,0.0,0.0,relu,128,0.0,100,32,relu,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.49647602438926697,0.7938596606254578,0.0,0.0,sigmoid,256,0.12,100,32,sigmoid,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.5582168698310852,0.734649121761322,0.0,0.0,relu,64,0.12,100,16,sigmoid,binary_crossentropy,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.490854263305664,0.5087719559669495,0.0,0.0,sigmoid,128,0.08,100,64,softmax,binary_crossentropy,6.04,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.6440376043319702,0.6359649300575256,0.0,0.0,sigmoid,128,0.28,100,32,sigmoid,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.490853786468506,0.5087719559669495,0.0,0.0,softmax,64,0.24,100,32,softmax,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.5194107294082642,0.7434210777282715,0.0,0.0,softmax,256,0.12,100,32,relu,binary_crossentropy,9.01,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.490854263305664,0.5087719559669495,0.0,0.0,softmax,256,0.12,100,128,softmax,binary_crossentropy,9.01,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.847780227661133,0.4912280738353729,0.0,0.0,relu,64,0.0,100,32,relu,binary_crossentropy,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.7131020426750183,0.4912280738353729,0.0,0.0,softmax,128,0.24,100,16,relu,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.847781181335449,0.4912280738353729,0.0,0.0,sigmoid,128,0.32,100,128,relu,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.6903010606765747,0.5131579041481018,0.0,0.0,relu,256,0.36,100,16,sigmoid,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
